Title_A|Product_Type_A|Brand_A|Price_A|Title_B|Product_Type_B|Brand_B|Price_B|unique_id_a|unique_id_b
Levis Men 505 Regular|Jeans|Levis|55|Levs Men 505|Jeans|Levis|56|153|212
Toshiba C350 55 in 4k|Smart TV|Toshiba|350|Toshiba C350 4k Fire TV|Smart TV|Toshiba|370|154|213
Nike Air Max 90|Sneakers|Nike|120|Nike Air Max 90|Shoes|Nikes|120|155|214
Sony WH-1000XM4|Headphones|Sony|275|Sony WH-1000XM4||Sony|275|156|215
Apple MacBook Pro|Laptop|Apple|1200|Apple Macbook Pro|Laptop|Apple|1180|157|216
Samsung Galaxy S20|Smartphone|Samsung|800|Samsung Galaxy S20 Ultra|Smartphone|Samsung|820|158|217
LG OLED55C1PUB 55 Inch 4K|TV|LG|1500|LG OLED55C1PUB 55 Inch 4K|Television|LG|1490|159|218
Adidas Ultraboost 21|Running Shoes|Adidas|180|Adidas Ultraboost 21|Shoes|Adidas|179|160|219
Microsoft Surface Pro 7|Tablet|Microsoft|799|Microsoft Surface Pro 7|Laptop/Tablet|Microsoft|820|161|220
Canon EOS Rebel T7|Camera|Canon|500|Canon EOS Rebel T7i|DSLR Camera|Canon|520|162|221
Sony PlayStation 5|Gaming Console|Sony|500|Sony Playstation 5|Console|Sony|520|163|222
Dell XPS 13|Laptop|Dell|1000|Dell XPS 13|Ultrabook|Dell|980|164|223
Bose QuietComfort 35 II|Headphones|Bose|300|Bose QuietComfort 35 II|Wireless|Bose|310|165|224
Samsung Q70T 55 Inch QLED|TV|Samsung|1000|Samsung Q70T 55 Inch QLED|Television|Samsung|990|166|225
GoPro HERO9 Black|Action Camera|GoPro|450|GoPro Hero 9 Black|Camera|GoPro|460|167|226
Microsoft Xbox Series X|Gaming Console|Microsoft|500|Microsoft Xbox Series X|Console|Microsoft|490|168|227
Asus ROG Strix G15|Gaming Laptop|Asus|1500|Asus ROG Strix G15|Laptop|Asus|1480|169|228
